"identifier","name","count","bin","frequency"
"dcsptn1coa","docosa-4,7,10,13,16-pentaenoyl coenzyme A","15","15","16"
"lnlc","linoleate","15","15","16"
"dcholcoa","chenodeoxycholoyl-CoA","15","15","16"
"strdnccoa","(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA(4-)","15","15","16"
"fum","fumarate(2-)","15","15","16"
"dolmanp_U","dolichyl D-mannosyl phosphate","15","15","16"
"but","butyrate","15","15","16"
"btcoa","butyryl-CoA(4-)","14","14","23"
"dhf","dihydrofolate(2-)","14","14","23"
"nrpphr","noradrenaline","14","14","23"
"srtn","serotonin(1+)","14","14","23"
"retinol","retinol","14","14","23"
"f6p","D-fructose 6-phosphate(2-)","14","14","23"
"mlthf","(6R)-5,10-methylenetetrahydrofolate(2-)","14","14","23"
"fvs","fluvastatin","14","14","23"
"fol","folic acid","14","14","23"
"prostge2","prostaglandin E2(1-)","14","14","23"
"ps_hs","phosphatidyl-L-serine(1-)","14","14","23"
"ttccoa","tetracosanoyl-CoA(4-)","14","14","23"
"udpg","UDP-D-glucose(2-)","14","14","23"
"fru","D-fructose","14","14","23"
"g6p","D-glucopyranose 6-phosphate(2-)","14","14","23"
"galside_hs","N-acyl-beta-D-galactosylsphingosine","14","14","23"
"ipdp","isopentenyl diphosphate(3-)","14","14","23"
"hdcea","palmitoleate","14","14","23"
"glyc","glycerol","14","14","23"
"bhb","(R)-3-hydroxybutyrate","14","14","23"
"btn","biotinate","14","14","23"
"C04849","(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate","14","14","23"
"10fthf","10-formyltetrahydrofolate(2-)","14","14","23"
"bilirub","bilirubin(2-)","13","13","20"
"5adtststerone","17beta-hydroxy-5alpha-androstan-3-one","13","13","20"
"succoa","succinyl-CoA(5-)","13","13","20"
"xol7aone","7alpha-hydroxycholest-4-en-3-one","13","13","20"
"idp","IDP(3-)","13","13","20"
"inost","myo-inositol","13","13","20"
"ins","inosine","13","13","20"
"prostgd2","prostaglandin D2(1-)","13","13","20"
"itp","ITP(3-)","13","13","20"
"thymd","thymidine","13","13","20"
"CE0852","palmitoleoyl-CoA(4-)","13","13","20"
"CE4990","12-dehydro-leukotriene B4","13","13","20"
"2hb","2-hydroxybutyric acid","13","13","20"
"ala_B","beta-alanine","13","13","20"
"estradiol","17beta-estradiol","13","13","20"
"ocdca","stearate","13","13","20"
"duri","2'-deoxyuridine","13","13","20"
"atvacid","atorvastatin-acid","13","13","20"
"dtmp","dTMP(2-)","13","13","20"
"k","potassium(1+)","13","13","20"
"hxcoa","hexanoyl-CoA(4-)","12","12","26"
"tststerone","testosterone","12","12","26"
"leuktrB4wcooh","20-hydroxy-20-oxoleukotriene B4(2-)","12","12","26"
"leuktrA4","leukotriene A4(1-)","12","12","26"
"bildglcur","bis(beta-glucosyluronate)bilirubin","12","12","26"
"c226coa","docosahexaenoyl-CoA(4-)","12","12","26"
"retinal","retinal","12","12","26"
"dlnlcgcoa","all-cis-icosa-8,11,14-trienoyl-CoA","12","12","26"
"pvs","pravastatin","12","12","26"
"pan4p","pantetheine 4'-phosphate(2-)","12","12","26"
"estrones","estrone 3-sulfate(1-)","12","12","26"
"C02528","chenodeoxycholate","12","12","26"
"urate","7,9-dihydro-1H-purine-2,6,8(3H)-trione","12","12","26"
"tdchola","taurochenodeoxycholate","12","12","26"
"pail35p_hs","1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)","12","12","26"
"prostge1","prostaglandin E1(1-)","12","12","26"
"galgluside_hs","beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-N-acylsphingosine","12","12","26"
"imp","IMP(2-)","12","12","26"
"gsn","guanosine","12","12","26"
"cholcoa","choloyl-CoA(4-)","12","12","26"
"pail3p_hs","1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)","12","12","26"
"atvlac","atorvastatin-lactone","12","12","26"
"acnam","N-acetylneuraminate","12","12","26"
"C04805","5(S)-HETE","12","12","26"
"leuktrC4","leukotriene C4(2-)","12","12","26"
"CE2567","5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion","12","12","26"
"ach","acetylcholine","11","11","29"
"dcyt","2'-deoxycytidine","11","11","29"
"dheas","dehydroepiandrosterone sulfate(1-)","11","11","29"
"HC02203","prostaglandin A2","11","11","29"
"dpcoa","3'-dephospho-CoA(2-)","11","11","29"
"aacoa","acetoacetyl-CoA(4-)","11","11","29"
"lstn","Losartan","11","11","29"
"HC02202","prostaglandin A1(1-)","11","11","29"
"HC02191","lithocholate","11","11","29"
"frdp","2-trans,6-trans-farnesyl diphosphate(3-)","11","11","29"
"glx","glyoxylate","11","11","29"
"leuktrE4","leukotriene E4(1-)","11","11","29"
"mthgxl","methylglyoxal","11","11","29"
"smv","simvastatin lactone form","11","11","29"
"bilglcur","mono(glucosyluronic acid)bilirubin(2-)","11","11","29"
"pail34p_hs","1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)","11","11","29"
"prgnlone","pregnenolone","11","11","29"
"prpp","5-O-phosphonato-alpha-D-ribofuranosyl diphosphate(5-)","11","11","29"
"CE5343","6,7-dihydro-5-oxo-12-epi-leukotriene B","11","11","29"
"ptrc","1,4-butanediammonium","11","11","29"
"glz","Gliclazide","11","11","29"
"25hvitd3","calcidiol","11","11","29"
"17ahprgnlone","17alpha-hydroxypregnenolone","11","11","29"
"thcholst","3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al","11","11","29"
"thbpt","5,6,7,8-tetrahydrobiopterin","11","11","29"
"clpndcoa","(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA(4-)","11","11","29"
"thcholstoic","3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oic acid","11","11","29"
"triodthy","3,3',5-triiodo-L-thyronine","11","11","29"
"pail345p_hs","1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-)","11","11","29"
"5mthf","5-methyltetrahydrofolate(2-)","10","10","36"
"od2coa","trans-2-octadecenoyl-CoA","10","10","36"
"nicrnt","nicotinate D-ribonucleotide(2-)","10","10","36"
"lnlnca","alpha-linolenate","10","10","36"
"5thf","pentaglutamyl folate (THF)","10","10","36"
"6dhf","hexaglutamyl folate (DHF)","10","10","36"
"prostgi2","prostaglandin I2(1-)","10","10","36"
"Tn_antigen","Tn antigen","10","10","36"
"octd11ecoa","(11E)-octadecenoyl-CoA(4-)","10","10","36"
"gthox","glutathione disulfide(2-)","10","10","36"
"xan","9H-xanthine","10","10","36"
"6thf","hexaglutamyl folate  (THF)","10","10","36"
"methf","(6R)-5,10-methenyltetrahydrofolate","10","10","36"
"crtsl","cortisol","10","10","36"
"ncam","nicotinamide","10","10","36"
"leuktrD4","leukotriene D4","10","10","36"
"4hpro_LT","trans-4-hydroxy-L-proline","10","10","36"
"andrstrn","androsterone","10","10","36"
"andrstndn","androst-4-ene-3,17-dione","10","10","36"
"thyox_L","L-thyroxine","10","10","36"
"hxan","hypoxanthine","10","10","36"
"nrvnccoa","(15Z)-tetracosenoyl-CoA(4-)","10","10","36"
"urea","urea","10","10","36"
"10fthf6glu","10-formyltetrahydrofolate-[Glu](6)","10","10","36"
"hmgcoa","(3S)-3-hydroxy-3-methylglutaryl-CoA","10","10","36"
"ethamp","O-phosphonatoethanaminium(1-)","10","10","36"
"hista","histaminium","10","10","36"
"adrncoa","(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA(4-)","10","10","36"
"malt","maltose","10","10","36"
"10fthf5glu","10-formyltetrahydrofolate-[Glu](5)","10","10","36"
"dd2coa","trans-dodec-2-enoyl-CoA(4-)","10","10","36"
"eicostetcoa","(8Z,11Z,14Z,17Z)-icosatetraenoyl-CoA(4-)","10","10","36"
"tcynt","thiocyanate","10","10","36"
"malACP","carboxyacetyl-[acyl-carrier protein]","10","10","36"
"docoscoa","behenoyl-CoA(4-)","10","10","36"
"tmndnc","all-cis-5,8,11,14,17-icosapentaenoate","10","10","36"
"ptvst","pitavastatin","9","9","45"
"acrn","O-acetyl-L-carnitine","9","9","45"
"dlnlcg","all-cis-icosa-8,11,14-trienoate","9","9","45"
"4mop","4-methyl-2-oxopentanoate","9","9","45"
"5dhf","pentaglutamyl folate (DHF)","9","9","45"
"CE1272","5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol","9","9","45"
"tacr","Tacrolimus","9","9","45"
"csa","cyclosporine","9","9","45"
"CE4633","hypochlorous acid","9","9","45"
"ala_D","D-alanine","9","9","45"
"meoh","methanol","9","9","45"
"gdpmann","GDP-alpha-D-mannose(2-)","9","9","45"
"acmp","acetaminophen/paracetamol","9","9","45"
"gbside_hs","N-acetyl-beta-D-galactosaminyl-(1->3)-alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide","9","9","45"
"dad_2","2'-deoxyadenosine","9","9","45"
"dc2coa","trans-dec-2-enoyl-CoA(4-)","9","9","45"
"CE5250","17beta-estradiol-2,3-quinone","9","9","45"
"34dhphe","L-dopa","9","9","45"
"CE5252","estrone-2,3-quinone","9","9","45"
"g3p","glyceraldehyde 3-phosphate(2-)","9","9","45"
"pnto_R","pantothenic acid","9","9","45"
"g1p","alpha-D-glucose 1-phosphate(2-)","9","9","45"
"cholp","choline phosphate(1-)","9","9","45"
"fe2","iron(2+)","9","9","45"
"rsv","rosuvastatin","9","9","45"
"docosac","behenate","9","9","45"
"C01041","monodehydro-L-ascorbate(1-)","9","9","45"
"Lcystin","L-cystine","9","9","45"
"lgnc","lignocerate","9","9","45"
"dchac","deoxycholate","9","9","45"
"2hatvacid","2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid","9","9","45"
"sarcs","sarcosine","9","9","45"
"dolglcp_U","dolichyl beta-D-glucosyl phosphate","9","9","45"
"dgmp","dGMP(2-)","9","9","45"
"dgsn","2'-deoxyguanosine","9","9","45"
"2obut","2-oxobutanoate","9","9","45"
"2mop","2-methyl-3-oxopropanoate","9","9","45"
"lvst","lovastatin lactone form","9","9","45"
"r5p","alpha-D-ribofuranose 5-phosphate","9","9","45"
"lpchol_hs","1-lysophosphatidylcholine","9","9","45"
"dhcholestanate","3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid","9","9","45"
"lnlncg","gamma-linolenate","9","9","45"
"lpam","lipoamide","9","9","45"
"dhea","dehydroepiandrosterone","9","9","45"
"ptth","pantetheine","9","9","45"
"c4crn","O-butanoylcarnitine","8","8","65"
"gluside_hs","D-glucosyl-N-acylsphingosine","8","8","65"
"thbpt4acam","4a-hydroxytetrahydrobiopterin","8","8","65"
"mi13456p","myo-inositol 1,3,4,5,6-pentakisphosphate(10-)","8","8","65"
"CE4820","3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA","8","8","65"
"fuc_L","L-fucose","8","8","65"
"Ser_Gly_Ala_X_Gly","protein-linked serine residue (glycosaminoglycan attachment site)","8","8","65"
"cgly","L-cysteinylglycine","8","8","65"
"tetpent6coa","(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA(4-)","8","8","65"
"xol7ah2","5beta-cholestane-3alpha,7alpha-diol","8","8","65"
"decdicoa","(2-trans,4-cis)-deca-2,4-dienoyl-CoA","8","8","65"
"CE4849","3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA","8","8","65"
"prist","pristanic acid","8","8","65"
"biocyt","biocytin","8","8","65"
"CE5560","glycolithocholate","8","8","65"
"sprm","spermine(4+)","8","8","65"
"dece3coa","trans-dec-3-enoyl-CoA(4-)","8","8","65"
"hdcecrn","O-palmitoleoylcarnitine","8","8","65"
"crvsm23","cerivastatin-M23","8","8","65"
"crvsm1","cerivastatin-M1","8","8","65"
"crvs","cerivastatin","8","8","65"
"lac_D","(R)-lactate","8","8","65"
"dece4coa","cis-dec-4-enoyl-CoA","8","8","65"
"HC02207","prostaglandin C2","8","8","65"
"sph1p","sphinganine 1-phosphate(1-)","8","8","65"
"HC02192","taurolithocholate","8","8","65"
"HC02206","prostaglandin C1(1-)","8","8","65"
"HC02205","prostaglandin B2","8","8","65"
"dgchol","glycochenodeoxycholate","8","8","65"
"leuktrF4","leukotriene F4","8","8","65"
"3ispvs","3-alpha-iso-pravastatin","8","8","65"
"ahdt","7,8-dihydroneopterin 3'-triphosphate(4-)","8","8","65"
"xol7ah2al","3alpha,7alpha-dihydroxy-5beta-cholestan-26-al","8","8","65"
"xoltriol","5beta-cholestane-3alpha,7alpha,12alpha-triol","8","8","65"
"leuktrB4woh","20-hydroxy-leukotriene B4(1-)","8","8","65"
"tddedi2coa","(2-trans,6-cis)-dodeca-2,6-dienoyl-CoA","8","8","65"
"lneldccoa","linoelaidyl coenzyme A","8","8","65"
"3pg","3-phosphonato-D-glycerate(3-)","8","8","65"
"4hatvlac","4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone","8","8","65"
"2hatvlac","2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone","8","8","65"
"4hatvacid","4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid","8","8","65"
"CE4988","10,11-dihydro-12-epi-leukotriene B4","8","8","65"
"CE1940","N-(3-aminopropyl)-4-aminobutanal","8","8","65"
"glyb","glycine betaine","8","8","65"
"HC02213","prostaglandin E3","8","8","65"
"17ahprgstrn","17alpha-hydroxyprogesterone","8","8","65"
"CE2566","5(S),6(S)-epoxy-15(R)-hydroxyeicosatetraenoate","8","8","65"
"5oxpro","5-oxoprolinate","8","8","65"
"prostgf2","prostaglandin F2alpha(1-)","8","8","65"
"ade","adenine","8","8","65"
"smvacid","simvastatin dihydroxy acid form","8","8","65"
"xol27oh","26-hydroxycholesterol","8","8","65"
"1pyr5c","1-pyrroline-5-carboxylate","8","8","65"
"thmpp","thiamine(1+) diphosphate(1-)","8","8","65"
"r1p","alpha-D-ribose 1-phosphate(2-)","8","8","65"
"am1ccs","AM1c (cyclosporine)","8","8","65"
"cholcoar","(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)","8","8","65"
"CE1617","9-cis-retinoic acid","8","8","65"
"dhcholestancoa","3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA","8","8","65"
"4abutn","4-ammoniobutanal","8","8","65"
"tmd","Torasemide","8","8","65"
"pydx5p","pyridoxal 5'-phosphate(2-)","8","8","65"
"dhlam","dihydrolipoamide","8","8","65"
"cholcoads","3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-en-26-oyl-CoA","8","8","65"
"retinal_cis_13","13-cis-retinal","8","8","65"
"C05957","prostaglandin J2","7","7","83"
"lvstacid","lovastatin-hydroxyacid form","7","7","83"
"pydx","pyridoxal","7","7","83"
"lnlncacoa","alpha-linolenoyl-CoA","7","7","83"
"CE7097","5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate","7","7","83"
"dmnoncoa","4,8 dimethylnonanoyl-CoA","7","7","83"
"c8crn","O-octanoyl-L-carnitine","7","7","83"
"tetdece1coa","trans-tetradec-2-enoyl-CoA(4-)","7","7","83"
"HC01434","oxalatosuccinate(3-)","7","7","83"
"retinal_cis_9","all-trans-retinal","7","7","83"
"retinol_9_cis","all-trans-retinol","7","7","83"
"2dr1p","2-deoxy-D-ribofuranose 1-phosphate(2-)","7","7","83"
"retinol_cis_11","11-cis-retinol","7","7","83"
"pristcoa","pristanoyl-CoA","7","7","83"
"wharachd","20-HETE(1-)","7","7","83"
"ribflv","riboflavin","7","7","83"
"ru5p_D","D-ribulose 5-phosphate(2-)","7","7","83"
"lcts","lactose","7","7","83"
"HC02204","prostaglandin B1","7","7","83"
"3hpvs","3'-S-hydroxy-pravastatin","7","7","83"
"xoltetrol","5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol","7","7","83"
"sphings","sphingosine(1+)","7","7","83"
"sphmyln_hs","sphingomyelin d18:1(1+)","7","7","83"
"etoh","ethanol","7","7","83"
"lneldccrn","O-linoelaidylcarnitine","7","7","83"
"HC10859","O-malonylcarnitine","7","7","83"
"sphs1p","sphingosine 1-phosphate(1-)","7","7","83"
"2425dhvitd3","(24R)-24,25-dihydroxycalciol","7","7","83"
"xolest2_hs","cholesterol ester","7","7","83"
"prgstrn","progesterone","7","7","83"
"CE5531","12-oxo-c-LTB3","7","7","83"
"34dhmald","3,4-dihydroxymandelaldehyde","7","7","83"
"xoltri27","7alpha,26-dihydroxycholesterol","7","7","83"
"fmn","FMN(3-)","7","7","83"
"xmp","5'-xanthylate(2-)","7","7","83"
"ivcoa","isovaleryl-CoA(4-)","7","7","83"
"acmana","aldehydo-N-acetyl-D-mannosamine","7","7","83"
"35cgmp","3',5'-cyclic GMP(1-)","7","7","83"
"galacglcgal14acglcgalgluside_hs","beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer","7","7","83"
"mag_hs","monoglyceride","7","7","83"
"gam6p","D-glucosamine 6-phosphate","7","7","83"
"din","2'-deoxyinosine","7","7","83"
"pglyc_hs","phosphatidylglycerol(1-)","7","7","83"
"ttdca","myristate","7","7","83"
"adrnl","adrenaline","7","7","83"
"idour","aldehydo-L-iduronate","7","7","83"
"tetdecdicoa","(3E,5Z)-tetradecadienoyl-CoA(4-)","7","7","83"
"ak2lgchol_hs","1-alkyl-sn-glycero-3-phosphocholine","7","7","83"
"CE1939","spermidine monoaldehyde 1","7","7","83"
"CE4876","delta12-Prostaglandin J2","7","7","83"
"i","iodide","7","7","83"
"pcrn","O-propanoylcarnitine","7","7","83"
"hyptaur","hypotaurine","7","7","83"
"CE1935","spermine monoaldehyde","7","7","83"
"mi1p_D","1D-myo-inositol 1-phosphate(2-)","7","7","83"
"yvite","gamma-tocopherol","7","7","83"
"3mop","3-methyl-2-oxovalerate","7","7","83"
"creat","creatine","7","7","83"
"arach","arachidate","7","7","83"
"3hdcoa","(S)-3-hydroxydecanoyl-CoA(4-)","7","7","83"
"am1csa","AM1 (cyclosporine)","7","7","83"
"arachdcrn","C20:4 carnitine","7","7","83"
"3mob","3-methyl-2-oxobutanoate","7","7","83"
"am9csa","AM9 (cyclosporine)","7","7","83"
"glyald","D-glyceraldehyde","7","7","83"
"b2coa","crotonoyl-CoA(4-)","7","7","83"
"xyl_D","aldehydo-D-xylose","7","7","83"
"13dmt","13-O-desmethyl tacrolimus, 13-DMT or M-I","7","7","83"
"15dmt","15-DMT or M-III, 15-O-desmethyl tacrolimus","7","7","83"
"mdz","Midazolam","7","7","83"
"3hddcoa","(S)-3-hydroxylauroyl-CoA(4-)","7","7","83"
"thym","thymine","7","7","83"
"ura","uracil","7","7","83"
"3hexdcoa","(S)-3-hydroxypalmitoyl-CoA(4-)","7","7","83"
"glyclt","glycolate","7","7","83"
"c6crn","O-hexanoylcarnitine","7","7","83"
"nmn","NMN(-)","7","7","83"
"hx2coa","trans-hex-2-enoyl-CoA","7","7","83"
"cbp","carbamoyl phosphate(2-)","7","7","83"
"hpyr","3-hydroxypyruvate","7","7","83"
"31dmt","31-DMT or M-II, 31-O-desmethyl tacrolimus","7","7","83"
"3htdcoa","(S)-3-hydroxytetradecanoyl-CoA(4-)","7","7","83"
"1p3h5c","(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic acid","7","7","83"
"lanost","lanosterol","6","6","131"
"cholcoaone","3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestan-26-oyl-CoA(4-)","6","6","131"
"2oxoadp","2-oxoadipate(2-)","6","6","131"
"c164_4Z_7Z_10Z_13Zcoa","M_c164_4Z_7Z_10Z_13Zcoa","6","6","131"
"20ahchsterol","20-hydroxycholesterol","6","6","131"
"hLkynr","3-hydroxy-L-kynurenine","6","6","131"
"ddca","dodecanoate","6","6","131"
"CE2866","3,3'-diiodo-L-thyronine","6","6","131"
"HC02180","thromboxane B2","6","6","131"
"HC02187","3,3',5'-triiodothyronine","6","6","131"
