identifier	name
R_G3PD2m	glycerol-3-phosphate dehydrogenase (FAD), mitochondrial
R_G6PDA	glucosamine-6-phosphate deaminase
R_G6PDH2r	glucose 6-phosphate dehydrogenase
R_G6PPer	glucose-6-phosphate phosphatase, edoplasmic reticular
R_G6Pter	glucose 6-phosphate endoplasmic reticular transport via diffusion
R_GALOR	D-Galactose:NADP+ 1-oxidoreductase
R_GALT	galactose-1-phosphate uridylyltransferase
R_GAPD	glyceraldehyde-3-phosphate dehydrogenase
R_GF6PTA	glutamine-fructose-6-phosphate transaminase
R_GFUCS	GDP-L-fucose synthase
R_GGNG	glycogenin self-glucosylation
R_GLACO	D-Glucuronolactone:NAD+ oxidoreductase
R_GLACOm	D-Glucuronolactone:NAD+ oxidoreductase, mitochondrial
R_GLACter	D-glucurono-6,3-lactone transport, endoplasmic reticulum
R_GLBRAN	1,4-alpha-glucan branching enzyme (glygn1 -> glygn2)
R_GLCter	glucose transport, endoplasmic reticulum
R_GLCURter	glucuronate endoplasmic reticular transport
R_GLDBRAN	glycogen debranching enzyme
R_GLGNS1	glycogen synthase (ggn -> glygn1)
R_GLNLASEer	gluconolactonase, endoplasmic reticulum
R_GLPASE1	glycogen phosphorylase (glygn2 -> dxtrn)
R_GLPASE2	glycogen phosphorylase (amyls -> glc-D)
R_GLRASE	glucuronolactone reductase
R_GLUt2m	L-glutamate reversible transport via proton symport, mitochondrial
R_GLUt7l	Glutamate transport, lysosomal
R_GLXO1	glyoxylate oxidase
R_GLXO2p	glyoxylate oxidase, peroxisomal
R_GLXtm	glyoxylate transport, mitochondrial
R_GLXtp	glyoxylate transport, peroxisomal
R_GLYCK2	glycerate kinase
R_GLYCLTDy	Glycolate dehydrogenase (NADP)
R_GLYCLTDym	Glycolate dehydrogenase (NADP), mitochondrial
R_GLYCLTtp	glycolate transport into peroxisome
R_GLYCTO1p	Glycolate oxidase, peroxisome
R_GLYOp	glycine oxidase, perixosomal
R_GLYOX	hydroxyacylglutathione hydrolase
R_GLYOXm	hydroxyacylglutathione hydrolase, mitochondrial
R_GLYtm	glycine passive transport to mitochondria
R_GLYtp	glycine passive transport to peroxisome
R_GMAND	GDP-D-mannose dehydratase
R_GNDc	phosphogluconate dehydrogenase
R_GNDer	phosphogluconate dehydrogenase, endoplasmic reticulum
R_GTHDH	Glutathione dehydrogenase (dehydroascorbate reductase)
R_GULLACter	gulonolactone endoplasmic reticular transport
R_GULN3D	L-gulonate 3-dehydrogenase
R_GULNDer	gulonate dehydrogenase, endoplasmic reticulum
R_GULNter	L-gulonate endoplasmic reticular export
R_GUR1PP	Glucuronate 1-phosphate phosphatase
R_H2Otly	H2O transport, lysosomal
R_HEX1	hexokinase (D-glucose:ATP)
R_HEX10	hexokinase (D-glucosamine:ATP)
R_HEX4	hexokinase (D-mannose:ATP)
R_HEX7	hexokinase (D-fructose:ATP)
R_HPYRDC	hydroxypyruvate decarboxylase
R_HPYRDCm	hydroxypyruvate decarboxylase, mitochondria
R_HPYRRy	Hydroxypyruvate reductase (NADPH)
R_HPYRtp	hydroxypyruate transport, peroxisomal
R_ICDHxm	Isocitrate dehydrogenase (NAD+)
R_ICDHy	isocitrate dehydrogenase (NADP)
R_ICDHyp	Isocitrate dehydrogenase (NADP+)
R_ICDHyrm	Isocitrate dehydrogenase (NADP+)
R_INOSTO	inositol oxygenase
R_ITCOAL1m	Itaconate--CoA ligase (GDP-forming), mitochondrial
R_ITCOALm	Itaconate--CoA ligase (ADP-forming), mitochondrial
R_KDNH	2-keto-3deoxy-D-glycero-D-galactononic acid phosphohydrolase
R_KHK	ketohexokinase
R_KHK2	ketohexokinase (D-xylulose)
R_KHK3	ketohexokinase (D-tagatose)
R_L_LACDcm	L-Lactate dehydrogenase, cytosolic/mitochondrial
R_LALDO	D-Lactaldehyde:NAD+ oxidoreductase (glutathione-formylating)
R_LALDO2x	D-Lactaldehyde:NAD+ 1-oxidoreductase
R_LCADi	lactaldehyde dehydrogenase
R_LCADi_D	lactaldehyde dehydrogenase
R_LCADi_Dm	lactaldehyde dehydrogenase, mitochondrial
R_LDH_D	D-lactate dehydrogenase
R_LDH_L	L-lactate dehydrogenase
R_LDH_Lm	L-lactate dehydrogenase
R_LGTHL	lactoylglutathione lyase
R_MALSO4tm	Malate:sulfate antiport, mitochondrial
R_MALT	alpha-glucosidase
R_MAN6PI	mannose-6-phosphate isomerase
R_MCITS	2-methylcitrate synthase
R_MDH	malate dehydrogenase
R_MDHm	malate dehydrogenase, mitochondrial
R_MDHx	malate dehydrogenase, peroxisomal
R_ME1m	malic enzyme (NAD), mitochondrial
R_ME2	malic enzyme (NADP)
R_ME2m	malic enzyme (NADP), mitochondrial
R_MECOALm	mesaconate--CoA ligase (ADP-forming), mitochondrial
R_MECOAS1m	mesaconate--CoA ligase (GDP-forming)
R_MESCOALm	Mesaconyl-CoA pyruvate-lyase
R_MGACONm	methylglutaconase, mitochondrial
R_MGSA	methylglyoxal synthase
R_MGSA2	methyglyoxylate synthase 2 (from g3p)
R_MI13456PK	inositol-1,3,4,5,6-pentakisphosphate 2-kinase
R_MI13456Ptn	inositol 1,3,4,5,6-pentakisphosphate nuclear transport (diffusion)
R_MI1345PKn	inositol-1,3,4,5-triphosphate 6-kinase, nucleus
R_MI1345PP	inositol-1,3,4,5-trisphosphate 5-phosphatase
R_MI1346PKn	inositol-1,3,4,6-tetrakisphosphate 5-kinase, nucleus
R_MI1346Ptn	1D-myo-Inositol 1,3,4,6-tetrakisphosphate nuclear transport (diffusion)
R_MI134P4P	inositol-1,3,4-trisphosphate 4-phosphatase
R_MI134PK	inositol-1,3,4-trisphosphate 6-kinase
R_MI134PP	inositol-1,3,4-trisphosphate 1-phosphatase
R_MI13PP	inositol-1,3-bisphosphate 3-phosphatase
R_MI1456PKn	inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus
R_MI145P6Kn	inositol-1,4,5-triphosphate 6-kinase, nucleus
R_MI145PK	inositol-1,4,5-trisphosphate 3-kinase
R_MI145PKn	inositol-1,4,5-trisphosphate 3-kinase, nucleus
R_MI145PP	inositol-1,4,5-trisphosphate 5-phosphatase
R_MI14P4P	inositol-1,4-bisphosphate 4-phosphatase
R_MI14PP	inositol-1,4-bisphosphate 1-phosphatase
R_MI14Ptn	inositol 1,4-bisphosphate nuclear transport (diffusion)
R_MI1PP	myo-inositol 1-phosphatase
R_MI1PS	myo-Inositol-1-phosphate synthase
R_MI3456PK	inositol-3,4,5,6-tetrakisphosphate 1-kinase
R_MI34PP	inositol-3,4-bisphosphate 4-phosphatase
R_MI3PP	myo-inositol 3-phosphatase
R_MI4PP	myo-inositol 4-phosphatase
R_MICITDr	2-methylisocitrate dehydratase
R_MINOHPtn	inositol hexakisphosphate nuclear transport (diffusion)
R_MLTG1	Maltodextrin glucosidase (maltotriose)
R_MMSAD3m	methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde), mitochondrial
R_NADHtpu	NADH transporter, peroxisome
R_NDPK1m	nucleoside-diphosphate kinase (ATP:GDP), mitochondrial
R_NH4tn	ammonia nuclear transport
R_O2ter	O2 transport, endoplasmic reticulum
R_O2tn	O2 nuclear transport
R_OIVD1m	2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate), mitochondrial
R_ORNTArm	ornithine transaminase reversible (m)
R_PCm	pyruvate carboxylase
R_PDHm	pyruvate dehydrogenase
R_PEPCKm	Phosphoenolpyruvate carboxykinase (GTP)
R_PFK	phosphofructokinase
R_PFK26	6-phosphofructo-2-kinase
R_PGI	glucose-6-phosphate isomerase
R_PGK	phosphoglycerate kinase
R_PGL	6-phosphogluconolactonase
R_PGLer	6-phosphogluconolactonase, endoplasmic reticulum
R_PGLYCP	Phosphoglycolate phosphatase
R_PGM	phosphoglycerate mutase
R_PGMT	phosphoglucomutase
R_PI345P3P	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase
R_PI345P3Pn	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase, nuclear
R_PI345P5P	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase
R_PI345P5Pn	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase, nuclear
R_PI34P3Pn	phosphatidylinositol-3,4-bisphosphate 3-phosphatase, nuclear
R_PI34P4Pn	phosphatidylinositol-3,4-bisphosphate 4-phosphatase, nuclear
R_PI34P5K	phosphatidylinositol 3,4-bisphosphate 5-kinase
R_PI34P5Kn	phosphatidylinositol 3,4-bisphosphate 5-kinase, nuclear
R_PI3P3Pn	phosphatidylinositol-3-phosphate 3-phosphatase, nuclear
R_PI3P4K	phosphatidylinositol 3-phosphate 4-kinase
R_PI3P4Kn	phosphatidylinositol 3-phosphate 4-kinase, nuclear
R_PI3P5K	phosphatidylinositol 3-phosphate 5-kinase
R_PI45P3K	phosphatidylinositol 4,5-bisphosphate 3-kinase
R_PI45P3Kn	phosphatidylinositol 4,5-bisphosphate 3-kinase, nuclear
R_PI45P4P	phosphatidylinositol-4,5-bisphosphate 4-phosphatase
R_PI45P5P	phosphatidylinositol-4,5-bisphosphate 5-phosphatase
R_PI45P5Pn	phosphatidylinositol-4,5-bisphosphate 5-phosphatase, nuclear
R_PI45PLC	phosphatidylinositol 4,5-bisphosphate phospholipase C
R_PI45PLCn	phosphatidylinositol 4,5-bisphosphate phospholipase C, nucleus
R_PI4P3K	phosphatidylinositol 4-phosphate 3-kinase
R_PI4P3Ker	phosphatidylinositol 4-phosphate 3-kinase, endoplasmic reticulum
R_PI4P3Kn	phosphatidylinositol 4-phosphate 3-kinase, nuclear
R_PI4P5K	phosphatidylinositol 4-phosphate 5-kinase
R_PI4P5Kn	phosphatidylinositol 4-phosphate 5-kinase, nuclear
R_PI4PLC	phosphatidylinositol 4-phosphate phospholipase C
R_PI4PLCn	phosphatidylinositol 4-phosphate phospholipase C, nucleus
R_PI4PP	phosphatidylinositol-4-phosphate 4-phosphatase
R_PI5P3K	phosphatidylinositol-5-phosphate 3-kinase
R_PI5P3Ker	phosphatidylinositol-5-phosphate 3-kinase, endoplasmic reticulum
R_PI5P4K	phosphatidylinositol-5-phosphate 4-kinase
R_PI5P4Kn	phosphatidylinositol-5-phosphate 4-kinase, nuclear
R_PIK3	phosphatidylinositol 3-kinase
R_PIK3er	phosphatidylinositol 3-kinase, endoplasmic reticulum
R_PIK3n	phosphatidylinositol 3-kinase, nuclear
R_PIK4	phosphatidylinositol 4-kinase
R_PIK4n	phosphatidylinositol 4-kinase, nuclear
R_PIK5	phosphatidylinositol 5-kinase
R_PIK5n	phosphatidylinositol 5-kinase, nuclear
R_PIPLC	phosphatidylinositol phospholipase C
R_PIPLCn	phosphatidylinositol phospholipase C, nucleus
R_PIt2m	phosphate transporter, mitochondrial
R_PMANM	phosphomannomutase
R_PMI12346PH	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase
R_PMI12346PHn	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase, nuclear
R_PMI1346PH	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase
R_PMI1346PHn	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase, nucleus
R_PPCOACm	Propionyl-CoA carboxylase, mitochondrial
R_PPCOAOm	Propanoyl-CoA:FAD 2,3-oxidoreductase, mitochondrial
R_PPDOy	Propane-1,2-diol:NADP+ 1-oxidoreductase
R_PPM	phosphopentomutase
R_PRPPS	phosphoribosylpyrophosphate synthetase
R_PYK	pyruvate kinase
R_PYRt2m	pyruvate mitochondrial transport via proton symport
R_r0081	L-Alanine:2-oxoglutarate aminotransferase Glutamate metabolism / Alanine and aspartate metabolism EC:2.6.1.2
R_RADH2	retinal dehydrogenase (NADPH)
R_RADH4	retinal dehydrogenase (NADPH)
R_RBK	ribokinase
R_RDH1a	retinol dehydrogenase (all-trans,NADPH)
R_RDH2a	retinol dehydrogenase (9-cis,NADPH)
R_RDH3a	retinol dehydrogenase (11-cis,NADPH)
R_RETI2	retinol isomerase (9-cis)
R_RPE	ribulose 5-phosphate 3-epimerase
R_RPI	ribose-5-phosphate isomerase
R_SBTD_D2	D-sorbitol dehydrogenase (D-fructose producing)
R_SBTR	D-sorbitol reductase
R_SCP22x	Sterol carrier protein 2
R_SERHL	L-Serine hydro-lyase
R_SPHMYLNtg	sphingomyelin intracellular transport
R_SPTix	serine-pyruvate aminotransferase (irreversible), peroxisomal
R_SUCD1m	succinate dehydrogenase
R_SUCOAS1m	Succinate--CoA ligase (GDP-forming)
R_SUCOASm	Succinate--CoA ligase (ADP-forming)
R_TALA	transaldolase
R_TDPDRE	dTDP-4-dehydrorhamnose 3,5-epimerase
R_TDPDRR	dTDP-4-dehydrorhamnose reductase
R_TDPGDH	dTDPglucose 4,6-dehydratase
R_TETPENT3COAtx	fatty acid intracellular transport
R_THFtm	5,6,7,8-Tetrahydrofolate transport, diffusion, mitochondrial
R_THMPPtm	Thiamine diphosphate transport in via anion antiport, mitochondria
R_TKT1	transketolase
R_TKT2	transketolase
R_TMDK1m	thymidine kinase (ATP:thymidine)
R_TPI	triose-phosphate isomerase
R_TREH	alpha,alpha-trehalase
R_TRIOK	triokinase
R_UAGALDP	UDP-N-acetylgalactosamine diphosphorylase
R_UAGDP	UDP-N-acetylglucosamine diphosphorylase
R_UDPG1P	UDPglucuronate uridine-monophosphohydrolase
R_UDPG4E	UDPglucose 4-epimerase
R_UDPGALtg	UDP-Gal Golgi transport via CMP antiport
R_UDPGD	UDPglucose 6-dehydrogenase
R_UDPGLCAtg	UDPGlcA Golgi transport via UMP antiport
R_UDPGLDCg	UDP-D-glucuronate decarboxylase, Golgi apparatus
R_UDPGNP	UDPglucuronate uridine-diphosphohydrolase
R_UDPGP	UDPglucose pyrophosphohydrolase
R_UGALGTg	UDPgalactose:D-glucose 4-beta-D-galactosyltransferase, Golgi apparatus
R_UGLT	UDPglucose--hexose-1-phosphate uridylyltransferase
R_UMPK7	UMP kinase (dGTP)
R_UROLACer	uronolactonase, endoplasmic reticulum
R_VD3	Vitamin D3 formation
R_VITD3Hm	Vitamin D-25-hydroxylase (D3)
R_XYLK	xylulokinase
R_XYLUR	xylulose reductase
R_DESAT18_4	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA)
R_DESAT18_7	fatty acyl-CoA desaturase (n-C18:1CoA -> n-C18:2CoA)
R_FACOAL1812	fatty-acid--CoA ligase
R_FAOXC1811602m	Beta oxidation fatty acid
R_P450LTB4r	cytochrome p450 leukotriene B4
R_LNLCCPT1	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_H8MTer_U	H8 mannosyltransferase, endoplasmic reticulum
R_ARTFR51	R group artificial flux
R_FACOAL240	fatty-acid--CoA ligase
R_FAOXC240200x	Beta oxidation of long chain fatty acid
R_FAOXC260240x	Beta oxidation of long chain fatty acid
R_LGNCCOAtx	fatty acid intracellular transport
R_LGNCCPT1	carnitine O-palmitoyltransferase
R_LGNCCPT2	transport into the mitochondria (carnitine)
R_H8MTer_L	H8 mannosyltransferase, endoplasmic reticulum
R_10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal
R_10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial
R_10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal
R_10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial
R_10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal
R_10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial
R_10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion
R_10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion
R_11DOCRTSLtm	11-deoxycortisol intracellular transport
R_11DOCRTSLtr	11-deoxycortisol intracellular transport
R_11DOCRTSTRNtm	11-deoxycorticosterone intracellular transport
R_11DOCRTSTRNtr	11-deoxycorticosterone intracellular transport
R_13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)
R_1a_24_25VITD2Hm	1-alpha-Vitamin D-24,25-hydroxylase (D2)
R_1a_24_25VITD3Hm	1-alpha-Vitamin D-24,25-hydroxylase (D3)
R_1a_25VITD2Hm	1-alpha,24R,25-Vitamin D-hydroxylase (D2)
R_1a_25VITD3Hm	1-alpha,24R,25-Vitamin D-hydroxylase (D3)
R_1PPDCRp	delta1-piperideine-2-carboxylate reductase, perixosomal
R_24_25DHVITD2tm	24,25-Dihydroxyvitamin D2 transport from mitochondria
R_24_25DHVITD3tm	24,25-Dihydroxyvitamin D3 transport from mitochondria
R_24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)
R_24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)
R_25HVITD2tin_m	25-hydroxyvitamin D2 transport in mitochondria
R_25HVITD2tm	25-hydroxyvitamin D2 transport from mitochondria
R_25HVITD3tin_m	25-hydroxyvitamin D3 transport in mitochondria
R_25HVITD3tm	25-hydroxyvitamin D3 transport from mitochondria
R_25VITD2Hm	1-alpha-Vitamin D-25-hydroxylase (D2)
R_25VITD3Hm	1-alpha-Vitamin D-25-hydroxylase (D3)
R_2AMACHYD	2-Aminoacrylate hydrolysis
R_2AMACSULT	2-Aminoacrylate sulfotransferase
R_2AMADPTm	L-2-aminoadipate shuttle (cytosol/mitochondria)
R_2DR1PP	2-deoxy-D-ribose 1-phosphate phosphorylase
R_2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase
R_2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)
R_2OXOADPTm	2-oxoadipate shuttle (cytosol/mitochondria)
R_34DHOXPEGOX	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase
R_34DHPHAMT	3,4-Dihydroxyphenylacetate:amet O-methyltransferase
R_34DHPLACOX	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase
R_34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase
R_34HPLFM	3-(4-hydroxyphenyl-)lactate formation
R_34HPPOR	4-Hydroxyphenylpyruvate:oxygen oxidoreductase
R_35CGMPtn	35cGMP nuclear transport
R_3AIBtm	3-amino-isobutyrate transport, mitochondrial
R_3AIBTm	L-3-aminoisobutyrate transaminase, mitochondrial
R_3DPHBH1	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)
R_3DPHBH2	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)
R_3DSPHR	3-Dehydrosphinganine reductase
R_3HAO	3-hydroxyanthranilate 3,4-dioxygenase
R_3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial
R_3HBCOAHLm	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
R_3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase
R_3HLYTCL	3-Hydroxy-L-tyrosine carboxy-lyase
R_3HPCOAHYD	3-hydroxyisobutyryl-Coenzyme A hydrolase
R_3HPPD	3-hydroxypropionate dehydrogenase
R_3HXKYNDCL	3-Hydroxykynurenamine decarboxy-lyase
R_3HXKYNOXDA	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)
R_3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase
R_3MOBt2im	3-methyl-2-oxobutanoate mitochondrial transport via proton symport
R_3MOPt2im	3-Methyl-2-oxopentanoate mitochondrial transport via proton symport
R_3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase
R_3MOXTYROX	3-Methoxytyramine:oxygen oxidoreductase (deaminating)
R_3NTD7l	3'-nucleotidase (AMP), lysosome
R_3SALAASPm	cysteinesulfinate-aspartate mitochondrial shuttle
R_3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase
R_3SALAOX	cysteinesulfinic acid oxidase
R_3SALATAi	3-sulfino-alanine transaminase (irreversible)
R_3SALATAim	3-sulfino-alanine transaminase (irreversible), mitochondrial
R_3SPYRSP	3-sulfinopyruvate hydrolase (spotaneous reaction)
R_3SPYRSPm	3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial
R_41R1H2MAE12BOOX	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)
R_41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)
R_42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)
R_4ABUTtm	4-aminobutanoate mitochondrial transport via diffusion
R_4HBZCOAFm	4-hydroxybenzoyl-CoA formation
R_4HBZFm	4-hydroxybenzoate formation
R_4HGLSDm	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial
R_4MOPt2im	4-methyl-2-oxopentanoate mitochondrial transport via proton symport
R_4NPHSULT	4-Nitrophenol Sulfotransferase
R_5ADTSTSTERONEGLCtr	glucuronidated compound transport
R_5ADTSTSTERONESULT	5alpha-Dihydrotestosterone sulfotransferase
R_5ADTSTSTERONEtr	5 alpha dihydrotesterone intracellular transport
R_5AOPtm	5-Aminolevulinate mitochondrial transport
R_5DHFtl	5-glutamyl-DHF transport, lysosomal
R_5HLTDL	5-Hydroxy-L-tryptophan decarboxy-lyase
R_5HOXINDACTO2OX	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase
R_5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)
R_5HOXINOXDA	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)
R_5HTRPDOX	5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)
R_5HXKYNDCL	5-Hydroxykynurenamine decarboxy-lyase
R_5HXKYNOXDA	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)
R_5THFtl	5-glutamyl-THF transport, lysosomal
R_5THFtm	5-glutamyl-THF transport,m mitochondrial
R_6DHFtl	6-glutamyl-DHF transport, lysosomal
R_6DHFtm	6-glutamyl-DHF transport,m mitochondrial
R_6HTSTSTERONEtr	hydroxylated testosterone transport
R_6THFtl	6-glutamyl-THF transport, lysosomal
R_6THFtm	6-glutamyl-THF transport,m mitochondrial
